Fecha,Año,Trimestre,Mes,Nombre_mes,Semana,Dia,Dia_de_la_semana
2022-01-01,2022,1,1,enero,1,1,sábado
2022-01-02,2022,1,1,enero,2,2,domingo
2022-01-03,2022,1,1,enero,2,3,lunes
2022-01-04,2022,1,1,enero,2,4,martes
2022-01-05,2022,1,1,enero,2,5,miércoles
2022-01-06,2022,1,1,enero,2,6,jueves
2022-01-07,2022,1,1,enero,2,7,viernes
2022-01-08,2022,1,1,enero,2,8,sábado
2022-01-09,2022,1,1,enero,3,9,domingo
2022-01-10,2022,1,1,enero,3,10,lunes
2022-01-11,2022,1,1,enero,3,11,martes
2022-01-12,2022,1,1,enero,3,12,miércoles
2022-01-13,2022,1,1,enero,3,13,jueves
2022-01-14,2022,1,1,enero,3,14,viernes
2022-01-15,2022,1,1,enero,3,15,sábado
2022-01-16,2022,1,1,enero,4,16,domingo
2022-01-17,2022,1,1,enero,4,17,lunes
2022-01-18,2022,1,1,enero,4,18,martes
2022-01-19,2022,1,1,enero,4,19,miércoles
2022-01-20,2022,1,1,enero,4,20,jueves
2022-01-21,2022,1,1,enero,4,21,viernes
2022-01-22,2022,1,1,enero,4,22,sábado
2022-01-23,2022,1,1,enero,5,23,domingo
2022-01-24,2022,1,1,enero,5,24,lunes
2022-01-25,2022,1,1,enero,5,25,martes
2022-01-26,2022,1,1,enero,5,26,miércoles
2022-01-27,2022,1,1,enero,5,27,jueves
2022-01-28,2022,1,1,enero,5,28,viernes
2022-01-29,2022,1,1,enero,5,29,sábado
2022-01-30,2022,1,1,enero,6,30,domingo
2022-01-31,2022,1,1,enero,6,31,lunes
2022-02-01,2022,1,2,febrero,6,1,martes
2022-02-02,2022,1,2,febrero,6,2,miércoles
2022-02-03,2022,1,2,febrero,6,3,jueves
2022-02-04,2022,1,2,febrero,6,4,viernes
2022-02-05,2022,1,2,febrero,6,5,sábado
2022-02-06,2022,1,2,febrero,7,6,domingo
2022-02-07,2022,1,2,febrero,7,7,lunes
2022-02-08,2022,1,2,febrero,7,8,martes
2022-02-09,2022,1,2,febrero,7,9,miércoles
2022-02-10,2022,1,2,febrero,7,10,jueves
2022-02-11,2022,1,2,febrero,7,11,viernes
2022-02-12,2022,1,2,febrero,7,12,sábado
2022-02-13,2022,1,2,febrero,8,13,domingo
2022-02-14,2022,1,2,febrero,8,14,lunes
2022-02-15,2022,1,2,febrero,8,15,martes
2022-02-16,2022,1,2,febrero,8,16,miércoles
2022-02-17,2022,1,2,febrero,8,17,jueves
2022-02-18,2022,1,2,febrero,8,18,viernes
2022-02-19,2022,1,2,febrero,8,19,sábado
2022-02-20,2022,1,2,febrero,9,20,domingo
2022-02-21,2022,1,2,febrero,9,21,lunes
2022-02-22,2022,1,2,febrero,9,22,martes
2022-02-23,2022,1,2,febrero,9,23,miércoles
2022-02-24,2022,1,2,febrero,9,24,jueves
2022-02-25,2022,1,2,febrero,9,25,viernes
2022-02-26,2022,1,2,febrero,9,26,sábado
2022-02-27,2022,1,2,febrero,10,27,domingo
2022-02-28,2022,1,2,febrero,10,28,lunes
2022-03-01,2022,1,3,marzo,10,1,martes
2022-03-02,2022,1,3,marzo,10,2,miércoles
2022-03-03,2022,1,3,marzo,10,3,jueves
2022-03-04,2022,1,3,marzo,10,4,viernes
2022-03-05,2022,1,3,marzo,10,5,sábado
2022-03-06,2022,1,3,marzo,11,6,domingo
2022-03-07,2022,1,3,marzo,11,7,lunes
2022-03-08,2022,1,3,marzo,11,8,martes
2022-03-09,2022,1,3,marzo,11,9,miércoles
2022-03-10,2022,1,3,marzo,11,10,jueves
2022-03-11,2022,1,3,marzo,11,11,viernes
2022-03-12,2022,1,3,marzo,11,12,sábado
2022-03-13,2022,1,3,marzo,12,13,domingo
2022-03-14,2022,1,3,marzo,12,14,lunes
2022-03-15,2022,1,3,marzo,12,15,martes
2022-03-16,2022,1,3,marzo,12,16,miércoles
2022-03-17,2022,1,3,marzo,12,17,jueves
2022-03-18,2022,1,3,marzo,12,18,viernes
2022-03-19,2022,1,3,marzo,12,19,sábado
2022-03-20,2022,1,3,marzo,13,20,domingo
2022-03-21,2022,1,3,marzo,13,21,lunes
2022-03-22,2022,1,3,marzo,13,22,martes
2022-03-23,2022,1,3,marzo,13,23,miércoles
2022-03-24,2022,1,3,marzo,13,24,jueves
2022-03-25,2022,1,3,marzo,13,25,viernes
2022-03-26,2022,1,3,marzo,13,26,sábado
2022-03-27,2022,1,3,marzo,14,27,domingo
2022-03-28,2022,1,3,marzo,14,28,lunes
